InstrStartPage.started,InstrStartPage.stopped,participant,designid,prolificid,Gender,Age,date,expName,psychopyVersion,OS,frameRate,ratio_monitor2CRT,VirtualChinrest.started,VirtualChinrest.stopped,xRes,yRes,viewingdistance_cm,pixeldensity_px2mm,BallPos,squarePos,mm2degree,px2degree,CRT_px2degree,PassVirtualChinrest,foveaRadius_inPixel,InstrRedo.started,InstrRedo.stopped,VirtualChinrest_Redo.started,VirtualChinrest_Redo.stopped,Instruction1.started,Instruction1.stopped,keyPractice.started,keyPractice.stopped,key_keyprac.keys,key_keyprac.corr,key_keyprac.rt,key_keyprac.duration,keyPracFeedback.started,keyPracFeedback.stopped,keyPracLoop.thisRepN,keyPracLoop.thisTrialN,keyPracLoop.thisN,keyPracLoop.thisIndex,keyPracLoop.ran,phase,block,trial,targOrientdeg,targOrient,corrAnswer,Instruction2.started,Instruction2.stopped,Instruction3.started,Instruction3.stopped
0.0323,27.0784,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.302621953,27.0793,316.6968,1366,768,-4.636,10.41,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-0.80921681,-8.423946993,27.83653633,Passed,-28.22022243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.302621953,,,1366,768,-4.636,10.41,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-0.80921681,-8.423946993,27.83653633,Passed,-28.22022243,316.6996,316.828,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.384547374,,,1366,768,-5.835,10.51,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-1.018503039,-10.70446694,27.83653633,Passed,-35.85996423,,,316.8304,421.6446,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.384547374,,,1366,768,-5.835,10.51,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-1.018503039,-10.70446694,27.83653633,Passed,-35.85996423,,,,,421.6459,459.6449,,,,,,,,,,,,,,,,,,,,,,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.384547374,,,1366,768,-5.835,10.51,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-1.018503039,-10.70446694,27.83653633,Passed,-35.85996423,,,,,,,461.904,464.1368,a,1,0.7983,,464.1378,464.6389,0,0,0,0,1,practice,1,1,0,left,a,,,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.384547374,,,1366,768,-5.835,10.51,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-1.018503039,-10.70446694,27.83653633,Passed,-35.85996423,,,,,,,464.6403,465.7421,a,1,0.5845,,465.7422,466.2447,0,1,1,1,1,practice,1,2,0,left,a,,,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.384547374,,,1366,768,-5.835,10.51,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-1.018503039,-10.70446694,27.83653633,Passed,-35.85996423,,,,,,,466.2461,467.274,a,1,0.4979,,467.2743,467.7702,0,2,2,2,1,practice,1,3,0,left,a,,,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.384547374,,,1366,768,-5.835,10.51,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-1.018503039,-10.70446694,27.83653633,Passed,-35.85996423,,,,,,,467.772,468.891,s,1,0.5987,,468.8912,469.3877,0,3,3,3,1,practice,1,4,180,right,s,,,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.384547374,,,1366,768,-5.835,10.51,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-1.018503039,-10.70446694,27.83653633,Passed,-35.85996423,,,,,,,469.3906,470.4655,s,1,0.5489,,470.4658,470.963,0,4,4,4,1,practice,1,5,180,right,s,,,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.384547374,,,1366,768,-5.835,10.51,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-1.018503039,-10.70446694,27.83653633,Passed,-35.85996423,,,,,,,470.9654,472.1146,a,1,0.628,,472.1148,472.6123,0,5,5,5,1,practice,1,6,0,left,a,,,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.384547374,,,1366,768,-5.835,10.51,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-1.018503039,-10.70446694,27.83653633,Passed,-35.85996423,,,,,,,,,,,,,,,,,,,,,,,,,,472.6153,497.0716,,
,,10,7,${e://Field/PROLIFIC_PID,m,31,2023-11-03_08h05.27.454,MouseEye_CC,2023.2.2,Win32,60.39376736,-0.384547374,,,1366,768,-5.835,10.51,"1014.06, 1089.86, 1092.59, 1090.18, 1103.35, 1062.07, 1069.62",965,-1.018503039,-10.70446694,27.83653633,Passed,-35.85996423,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.072,500.238
