InstrStartPage.started,InstrStartPage.stopped,participant,designid,prolificid,Gender,Age,date,expName,psychopyVersion,OS,frameRate,ratio_monitor2CRT,VirtualChinrest.started,VirtualChinrest.stopped,xRes,yRes,viewingdistance_cm,pixeldensity_px2mm,BallPos,squarePos,mm2degree,px2degree,CRT_px2degree,PassVirtualChinrest,foveaRadius_inPixel,InstrRedo.started,InstrRedo.stopped,VirtualChinrest_Redo.started,VirtualChinrest_Redo.stopped,Redo_virtualChinrest,Instruction1.started,Instruction1.stopped,keyPractice.started,keyPractice.stopped,key_keyprac.keys,key_keyprac.corr,key_keyprac.rt,key_keyprac.duration,keyPracFeedback.started,keyPracFeedback.stopped,keyPracLoop.thisRepN,keyPracLoop.thisTrialN,keyPracLoop.thisN,keyPracLoop.thisIndex,keyPracLoop.ran,phase,block,trial,targOrientdeg,targOrient,corrAnswer,Instruction2.started,Instruction2.stopped,Instruction3.started,Instruction3.stopped,fixation.started,fixation.stopped,fixationSize,mouseintial.x,mouseintial.y,mouseintial.leftButton,mouseintial.midButton,mouseintial.rightButton,mouseintial.time,mouseintial.clicked_name,greenFixation.started,greenFixation.stopped,trial.started,trial.stopped,letterSize,apertureSize,searchsize,key_respMain.keys,key_respMain.corr,key_respMain.rt,key_respMain.duration,trialFeedback.started,trialFeedback.stopped,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,trialsPractice.ran,targetQuad,Tcondition,targcell,tlocx,tlocy,d1x,d1y,d2x,d2y,d3x,d3y,d4x,d4y,d5x,d5y,d6x,d6y,d7x,d7y,d8x,d8y,d9x,d9y,d10x,d10y,d11x,d11y,d1Orient,d2Orient,d3Orient,d4Orient,d5Orient,d6Orient,d7Orient,d8Orient,d9Orient,d10Orient,d11Orient,CheckInstr.started,CheckInstr.stopped,key_checkInstr.keys,key_checkInstr.corr,key_checkInstr.rt,key_checkInstr.duration,CheckInstr_FB.started,CheckInstr_FB.stopped,Instruction_MainExp.started,Instruction_MainExp.stopped,TakeABreak.started,TakeABreak.stopped,key_respBreak.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,configurationNumber,CCCondition,key_respBreak.rt,key_respBreak.duration,displayTestingPhase.started,displayTestingPhase.stopped,key_respTesting.keys,key_respTesting.corr,key_respTesting.rt,key_respTesting.duration,TakeABreak2.started,TakeABreak2.stopped,key_RespBreak.keys,Testingtrials.thisRepN,Testingtrials.thisTrialN,Testingtrials.thisN,Testingtrials.thisIndex,Testingtrials.ran,key_RespBreak.rt,key_RespBreak.duration,RecogQuestion.started,RecogQuestion.stopped,key_AnswerQues.keys,key_AnswerQues.rt,key_AnswerQues.duration,Disclose.started,Disclose.stopped,InstrRT.started,InstrRT.stopped,fixation_RT.started,fixation_RT.stopped,mouseInitial.x,mouseInitial.y,mouseInitial.leftButton,mouseInitial.midButton,mouseInitial.rightButton,mouseInitial.time,mouseInitial.clicked_name,displayRT.started,displayRT.stopped,key_respRT.keys,key_respRT.corr,key_respRT.rt,key_respRT.duration,RTtrials.thisRepN,RTtrials.thisTrialN,RTtrials.thisN,RTtrials.thisIndex,RTtrials.ran,EndOfExperiment.started,EndOfExperiment.stopped
0.0002,9.842,26,4,${e://Field/PROLIFIC_PID,M,31,2023-11-04_03h43.33.991,MouseEye_CC,2023.2.2,Win32,61.10228523,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,4,${e://Field/PROLIFIC_PID,M,31,2023-11-04_03h43.33.991,MouseEye_CC,2023.2.2,Win32,61.10228523,1.643124544,9.8427,260.6066,1536,864,57.973,4.52,"130.65, 146.62, 153.67, 163.02, 140.83, 144.32, 164.48",778.79,10.11922479,45.73889605,27.83653633,Failed,153.2253018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,4,${e://Field/PROLIFIC_PID,M,31,2023-11-04_03h43.33.991,MouseEye_CC,2023.2.2,Win32,61.10228523,1.643124544,,,1536,864,57.973,4.52,"130.65, 146.62, 153.67, 163.02, 140.83, 144.32, 164.48",778.79,10.11922479,45.73889605,27.83653633,Failed,153.2253018,260.6074,274.0328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,4,${e://Field/PROLIFIC_PID,M,31,2023-11-04_03h43.33.991,MouseEye_CC,2023.2.2,Win32,61.10228523,1.28,,,1536,864,50.284,4.52,"130.65, 146.62, 153.67, 163.02, 140.83, 144.32, 164.48",778.79,8.777104849,39.67251392,27.83653633,Failed,132.9029216,,,274.033,349.4576,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,4,${e://Field/PROLIFIC_PID,M,31,2023-11-04_03h43.33.991,MouseEye_CC,2023.2.2,Win32,61.10228523,1.28,,,1536,864,50.284,4.52,"130.65, 146.62, 153.67, 163.02, 140.83, 144.32, 164.48",778.79,8.777104849,39.67251392,27.83653633,Failed,132.9029216,,,,,,349.4583,369.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,4,${e://Field/PROLIFIC_PID,M,31,2023-11-04_03h43.33.991,MouseEye_CC,2023.2.2,Win32,61.10228523,1.28,,,1536,864,50.284,4.52,"130.65, 146.62, 153.67, 163.02, 140.83, 144.32, 164.48",778.79,8.777104849,39.67251392,27.83653633,Failed,132.9029216,,,,,,,,370.0394,370.988,a,1,0.4059,,370.9887,371.4872,0,0,0,0,1,practice,1,1,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,4,${e://Field/PROLIFIC_PID,M,31,2023-11-04_03h43.33.991,MouseEye_CC,2023.2.2,Win32,61.10228523,1.28,,,1536,864,50.284,4.52,"130.65, 146.62, 153.67, 163.02, 140.83, 144.32, 164.48",778.79,8.777104849,39.67251392,27.83653633,Failed,132.9029216,,,,,,,,371.489,372.5025,a,1,0.485,,372.5027,373.0024,0,1,1,1,1,practice,1,2,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,4,${e://Field/PROLIFIC_PID,M,31,2023-11-04_03h43.33.991,MouseEye_CC,2023.2.2,Win32,61.10228523,1.28,,,1536,864,50.284,4.52,"130.65, 146.62, 153.67, 163.02, 140.83, 144.32, 164.48",778.79,8.777104849,39.67251392,27.83653633,Failed,132.9029216,,,,,,,,373.0039,373.8852,a,1,0.3695,,373.8853,374.3851,0,2,2,2,1,practice,1,3,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,4,${e://Field/PROLIFIC_PID,M,31,2023-11-04_03h43.33.991,MouseEye_CC,2023.2.2,Win32,61.10228523,1.28,,,1536,864,50.284,4.52,"130.65, 146.62, 153.67, 163.02, 140.83, 144.32, 164.48",778.79,8.777104849,39.67251392,27.83653633,Failed,132.9029216,,,,,,,,374.3861,375.4516,s,1,0.5344,,375.4518,375.9517,0,3,3,3,1,practice,1,4,180,right,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,4,${e://Field/PROLIFIC_PID,M,31,2023-11-04_03h43.33.991,MouseEye_CC,2023.2.2,Win32,61.10228523,1.28,,,1536,864,50.284,4.52,"130.65, 146.62, 153.67, 163.02, 140.83, 144.32, 164.48",778.79,8.777104849,39.67251392,27.83653633,Failed,132.9029216,,,,,,,,375.9528,376.9182,s,1,0.4186,,376.9183,377.4181,0,4,4,4,1,practice,1,5,180,right,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
