InstrStartPage.started,InstrStartPage.stopped,participant,designid,prolificid,Gender,Age,date,expName,psychopyVersion,OS,frameRate,ratio_monitor2CRT,VirtualChinrest.started,VirtualChinrest.stopped,xRes,yRes,viewingdistance_cm,pixeldensity_px2mm,BallPos,squarePos,mm2degree,px2degree,CRT_px2degree,PassVirtualChinrest,foveaRadius_inPixel,InstrRedo.started,InstrRedo.stopped,VirtualChinrest_Redo.started,VirtualChinrest_Redo.stopped,Instruction1.started,Instruction1.stopped,keyPractice.started,keyPractice.stopped,key_keyprac.keys,key_keyprac.corr,key_keyprac.rt,key_keyprac.duration,keyPracFeedback.started,keyPracFeedback.stopped,keyPracLoop.thisRepN,keyPracLoop.thisTrialN,keyPracLoop.thisN,keyPracLoop.thisIndex,keyPracLoop.ran,phase,block,trial,targOrientdeg,targOrient,corrAnswer,Instruction2.started,Instruction2.stopped,Instruction3.started,Instruction3.stopped,fixation.started,fixation.stopped,fixationSize,mouseintial.x,mouseintial.y,mouseintial.leftButton,mouseintial.midButton,mouseintial.rightButton,mouseintial.time,mouseintial.clicked_name,greenFixation.started,greenFixation.stopped,trial.started,trial.stopped,letterSize,apertureSize,searchsize,key_respMain.keys,key_respMain.corr,key_respMain.rt,key_respMain.duration,trialFeedback.started,trialFeedback.stopped,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,trialsPractice.ran,targetQuad,Tcondition,targcell,tlocx,tlocy,d1x,d1y,d2x,d2y,d3x,d3y,d4x,d4y,d5x,d5y,d6x,d6y,d7x,d7y,d8x,d8y,d9x,d9y,d10x,d10y,d11x,d11y,d1Orient,d2Orient,d3Orient,d4Orient,d5Orient,d6Orient,d7Orient,d8Orient,d9Orient,d10Orient,d11Orient,CheckInstr.started,CheckInstr.stopped,key_checkInstr.keys,key_checkInstr.corr,key_checkInstr.rt,key_checkInstr.duration,CheckInstr_FB.started,CheckInstr_FB.stopped,Instruction_MainExp.started,Instruction_MainExp.stopped,TakeABreak.started,TakeABreak.stopped,key_respBreak.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,configurationNumber,CCCondition,key_respBreak.rt,key_respBreak.duration
0.0005,7.8847,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.178371764,7.8849,105.053,1920,1080,54.15599999999999,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.452964963,32.80178842,27.83653633,Passed,109.8859912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.178371764,,,1920,1080,54.15599999999999,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.452964963,32.80178842,27.83653633,Passed,109.8859912,105.0532,105.0549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,105.055,202.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,202.4143,217.3807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,217.3917,218.5149,a,1,0.6005,,218.515,219.0146,0,0,0,0,1,practice,1,1,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,219.015,219.9303,a,1,0.3802,,219.9305,220.4303,0,1,1,1,1,practice,1,2,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,220.4305,221.3334,a,1,0.3968,,221.3335,221.8303,0,2,2,2,1,practice,1,3,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,221.8305,222.851,s,1,0.4838,,222.851,223.3509,0,3,3,3,1,practice,1,4,180,right,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,12,${e://Field/PROLIFIC_PID,M,21,2023-11-03_24h43.34.559,MouseEye_CC,2023.2.2,Win32,59.95922773,1.219343661,,,1920,1080,56.039,3.47,"134, 157.55, 138.28, 150.8, 136.03, 130.25, 132.66",589.51,9.781643835,33.94230411,27.83653633,Passed,113.7067188,,,,,,,223.3511,224.247,s,1,0.3718,,224.247,224.7468,0,4,4,4,1,practice,1,5,180,right,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
