InstrStartPage.started,InstrStartPage.stopped,participant,designid,prolificid,Gender,Age,date,expName,psychopyVersion,OS,frameRate,ratio_monitor2CRT,VirtualChinrest.started,VirtualChinrest.stopped,xRes,yRes,viewingdistance_cm,pixeldensity_px2mm,BallPos,squarePos,mm2degree,px2degree,CRT_px2degree,PassVirtualChinrest,foveaRadius_inPixel,InstrRedo.started,InstrRedo.stopped,VirtualChinrest_Redo.started,VirtualChinrest_Redo.stopped,Instruction1.started,Instruction1.stopped,keyPractice.started,keyPractice.stopped,key_keyprac.keys,key_keyprac.corr,key_keyprac.rt,key_keyprac.duration,keyPracFeedback.started,keyPracFeedback.stopped,keyPracLoop.thisRepN,keyPracLoop.thisTrialN,keyPracLoop.thisN,keyPracLoop.thisIndex,keyPracLoop.ran,phase,block,trial,targOrientdeg,targOrient,corrAnswer,Instruction2.started,Instruction2.stopped,Instruction3.started,Instruction3.stopped,fixation.started,fixation.stopped,fixationSize,mouseintial.x,mouseintial.y,mouseintial.leftButton,mouseintial.midButton,mouseintial.rightButton,mouseintial.time,mouseintial.clicked_name,greenFixation.started,greenFixation.stopped,trial.started,trial.stopped,letterSize,apertureSize,searchsize,key_respMain.keys,key_respMain.corr,key_respMain.rt,key_respMain.duration,trialFeedback.started,trialFeedback.stopped,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,trialsPractice.ran,targetQuad,Tcondition,targcell,tlocx,tlocy,d1x,d1y,d2x,d2y,d3x,d3y,d4x,d4y,d5x,d5y,d6x,d6y,d7x,d7y,d8x,d8y,d9x,d9y,d10x,d10y,d11x,d11y,d1Orient,d2Orient,d3Orient,d4Orient,d5Orient,d6Orient,d7Orient,d8Orient,d9Orient,d10Orient,d11Orient,CheckInstr.started,CheckInstr.stopped,key_checkInstr.keys,key_checkInstr.corr,key_checkInstr.rt,key_checkInstr.duration,CheckInstr_FB.started,CheckInstr_FB.stopped,Instruction_MainExp.started,Instruction_MainExp.stopped,TakeABreak.started,TakeABreak.stopped,key_respBreak.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,configurationNumber,CCCondition
1E-04,18.1552,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.143971037,18.1554,141.7728,2560,1440,52.575,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.177000386,31.84419134,27.83653633,Passed,106.678041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.143971037,,,2560,1440,52.575,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.177000386,31.84419134,27.83653633,Passed,106.678041,141.7729,141.7782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,141.7784,213.9599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,213.9601,227.3508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,227.3624,228.677,a,1,0.7848,,228.6771,229.1744,0,0,0,0,1,practice,1,1,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,229.1755,230.2599,a,1,0.5545,,230.26,230.7602,0,1,1,1,1,practice,1,2,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,230.7609,231.8589,a,1,0.577,,231.8589,232.3605,0,2,2,2,1,practice,1,3,0,left,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,232.3611,233.408,s,1,0.5209,,233.4082,233.911,0,3,3,3,1,practice,1,4,180,right,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,999,12,xxx,F,18,2023-11-01_14h30.33.796,MouseEye_CC,2023.2.2,MacIntel,60.0024001,1.131677292,,,2560,1440,52.010000000000005,3.47,"135.45, 143.53, 179.72, 150.59, 149.04, 145.24, 169.28",589.53,9.078379269,31.50197606,27.83653633,Passed,105.5316198,,,,,,,233.9113,234.9097,s,1,0.4774,,234.9097,235.4071,0,4,4,4,1,practice,1,5,180,right,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
